asset_id,session_num,session_title,session_date,statement_idx,speaker_affiliation_code,speaker_affiliation_name,speaker_name,speaker_function,speaker_group,paragraph_idx,sentence_idx,text
k1k/k1k41vpaer,Session 1,First meeting of the working group,"Sep 16, 2025",0,IAHWG,IAHWG,,Co-Chair,,0,0,"Colleagues, if you could please be seated so that we can begin."
k1k/k1k41vpaer,Session 1,First meeting of the working group,"Sep 16, 2025",0,IAHWG,IAHWG,,Co-Chair,,1,0,Thank you.
k1k/k1k41vpaer,Session 1,First meeting of the working group,"Sep 16, 2025",0,IAHWG,IAHWG,,Co-Chair,,1,1,I call to order the first meeting of the Informal Ad Hoc Working Group.
k1k/k1k41vpaer,Session 1,First meeting of the working group,"Sep 16, 2025",0,IAHWG,IAHWG,,Co-Chair,,1,2,"On behalf of the co chairs, I extend a warm welcome to all of you to this first meeting of the Informal Ad Hoc Working Group."
k1k/k1k41vpaer,Session 1,First meeting of the working group,"Sep 16, 2025",0,IAHWG,IAHWG,,Co-Chair,,1,3,"I would like to recognize the presence of the President of the General Assembly, Her Excellency Annalina Baerbock and Mr. Guy Ryder, under Secretary General Policy in the Executive Office of the Secretary General."
k1k/k1k41vpaer,Session 1,First meeting of the working group,"Sep 16, 2025",1,IAHWG,IAHWG,Brian Wallace,Co-Chair,,0,0,"Madam President, in our role as Co Chairs of the Informal Ad Hoc Working Group, we congratulate you on your election and wish you a fruitful 80th session of the General Assembly."
k1k/k1k41vpaer,Session 1,First meeting of the working group,"Sep 16, 2025",1,IAHWG,IAHWG,Brian Wallace,Co-Chair,,0,1,"As members are aware in its decision 79571 of 2 September 2025, the General assembly decided to establish an Informal Ad Hoc Working Group open to all Member States and observers to consider options to improve the creation, delivery and review of UN mandates."
k1k/k1k41vpaer,Session 1,First meeting of the working group,"Sep 16, 2025",1,IAHWG,IAHWG,Brian Wallace,Co-Chair,,0,2,"The establishment of this group is a milestone within the broader UN80 initiative, and new Zealand and Jamaica are honored to co chair its work."
k1k/k1k41vpaer,Session 1,First meeting of the working group,"Sep 16, 2025",1,IAHWG,IAHWG,Brian Wallace,Co-Chair,,0,3,Today we gather with a clear sense of purpose to take forward the mandate entrusted to us by the Assembly.
k1k/k1k41vpaer,Session 1,First meeting of the working group,"Sep 16, 2025",1,IAHWG,IAHWG,Brian Wallace,Co-Chair,,0,4,"In the spirit of cooperation, openness and trust that defines multilateralism at its best, our leaders have called for a United nations that is more effective, more efficient and fit for purpose."
k1k/k1k41vpaer,Session 1,First meeting of the working group,"Sep 16, 2025",1,IAHWG,IAHWG,Brian Wallace,Co-Chair,,1,0,"As it marks its 80th anniversary, this working Group is one expression of that collective ambition, and it is for us, the membership, to shape how that conviction is translated into practice."
